MonthYear,ActionGeo_ADM1Code,Total_Events,Goldstein_Neg_Mean,AvgTone_Neg_Mean,QuadClass4_Count,MIL_COP_Count,Pct_QuadClass4,Goldstein_Neg_Norm,AvgTone_Neg_Norm,Pct_QuadClass4_Norm,ISRB,Target_ISRB_NextMonth,Dept_BN08,Dept_BN09,Dept_BN10,Dept_BN11,Dept_BN12,Dept_BN13,Dept_BN14,Dept_BN15,Dept_BN16,Dept_BN18
202508,BN15,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22216981132075447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202509,BN15,7.0,-5.0,-1.8867924528301798,0.0,0.0,0.0,0.5,0.188679245283018,0.0,0.22216981132075447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202510,BN15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202511,BN15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202512,BN15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202601,BN15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202602,BN15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4021336315012973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202603,BN15,3.0,-6.0,-2.35201192671856,1.0,0.0,33.33333333333333,0.6,0.23520119267185602,0.33333333333333326,0.4021336315012973,0.3911832677729722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202504,BN16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202505,BN16,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202506,BN16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202507,BN16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38723684327662006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202508,BN16,21.0,-5.0,-5.441854683445755,4.0,1.0,19.047619047619047,0.5,0.5441854683445755,0.19047619047619047,0.38723684327662006,0.35310232058851393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202509,BN16,38.0,-6.36,-4.79904019196161,1.0,3.0,2.631578947368421,0.636,0.479904019196161,0.02631578947368421,0.35310232058851393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202510,BN16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382096069868995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202511,BN16,1.0,0.0,-1.52838427947598,0.0,0.0,0.0,0.0,0.152838427947598,0.0,0.0382096069868995,0.2823021430445565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202512,BN16,98.0,-4.30625,-3.1408867421904225,13.0,11.0,13.26530612244898,0.43062500000000004,0.31408867421904224,0.1326530612244898,0.2823021430445565,0.016025641025641024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202601,BN16,3.0,0.0,-0.641025641025641,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.016025641025641024,0.1983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
202602,BN16,8.0,-5.666666666666667,0.0,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,0.1983333333333333,0.00919117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
